Location,City,city_name,state_name,Lat,Lng
"Windsor Mill, MD",11,Windsor Mill, MD,39.3326927,-76.7595659
"Temple Terrace, FL",11,Temple Terrace, FL,28.0352964,-82.3892596
"Bristol, CT",11,Bristol, CT,41.67176480000001,-72.9492703
"Bloomfield, CT",11,Bloomfield, CT,41.826488,-72.73009449999999
"Waterbury, VT",11,Waterbury, VT,44.3378203,-72.7562636
"Middletown, CT",10,Middletown, CT,41.5623209,-72.6506488
"Arlington, TX",10,Arlington, TX,32.735687,-97.10806559999999
"West Valley City, UT",10,West Valley City, UT,40.6916132,-112.0010501
"Bala Cynwyd, PA",10,Bala Cynwyd, PA,40.0131418,-75.23040379999999
"Eagan, MN",10,Eagan, MN,44.8041322,-93.1668858
"San Mateo, CA",10,San Mateo, CA,37.5629917,-122.3255254
"Lexington Park, MD",10,Lexington Park, MD,38.2575517,-76.4620928
"Silverdale, WA",10,Silverdale, WA,47.6445386,-122.6948697
"Somerville, MA",10,Somerville, MA,42.3875968,-71.0994968
"Winston-salem, NC",10,Winston-salem, NC,36.09985959999999,-80.244216
"Lawrence, MA",10,Lawrence, MA,42.7070354,-71.1631137
"Greensboro, NC",10,Greensboro, NC,36.0726354,-79.7919754
"Salem, OR",10,Salem, OR,44.9428975,-123.0350963
"Newtown Square, PA",10,Newtown Square, PA,39.9868904,-75.4007058
"Fort Belvoir, VA",10,Fort Belvoir, VA,38.71887160000001,-77.15426839999999
"Monterey, CA",10,Monterey, CA,36.6002378,-121.8946761
"Norristown, PA",10,Norristown, PA,40.121497,-75.3399048
"Topeka, KS",10,Topeka, KS,39.0473451,-95.67515759999999
"Bethlehem, PA",10,Bethlehem, PA,40.6259316,-75.37045789999999
"Hialeah, FL",10,Hialeah, FL,25.8575963,-80.2781057
"Horsham, PA",10,Horsham, PA,40.1784422,-75.1285061
"College Station, TX",9,College Station, TX,30.627977,-96.3344068
"Cerritos, CA",9,Cerritos, CA,33.8583483,-118.0647871
"Menomonee Falls, WI",9,Menomonee Falls, WI,43.1788967,-88.1173132
"Provo, UT",9,Provo, UT,40.2338438,-111.6585337
"Norwell, MA",9,Norwell, MA,42.1615157,-70.7927832
"Bohemia, NY",9,Bohemia, NY,40.7692649,-73.1151117
"Groton, CT",9,Groton, CT,41.3497456,-72.0790717
"Cranston, RI",9,Cranston, RI,41.7798226,-71.4372796
"Crescent Springs, KY",9,Crescent Springs, KY,39.0514492,-84.5816106
"Raynham, MA",9,Raynham, MA,41.9487077,-71.0731162
"St. Paul, MN",9,St. Paul, MN,44.9537029,-93.0899578
"Palm Beach Gardens, FL",9,Palm Beach Gardens, FL,26.8233946,-80.13865469999999
"Riverside, CA",9,Riverside, CA,33.9806005,-117.3754942
"Coral Springs, FL",9,Coral Springs, FL,26.271192,-80.2706044
"Audubon, PA",9,Audubon, PA,40.12788390000001,-75.43185319999999
"Coral Gables, FL",9,Coral Gables, FL,25.7491968,-80.2635411
"Plymouth Meeting, PA",9,Plymouth Meeting, PA,40.1023319,-75.2743467
"Acton, MA",9,Acton, MA,42.4850931,-71.43284
"Hauppauge, NY",9,Hauppauge, NY,40.8256536,-73.2026138
"Billerica, MA",9,Billerica, MA,42.5584218,-71.2689461
"Georgetown, KY",9,Georgetown, KY,38.2097967,-84.55883109999999
"Johns Creek, GA",9,Johns Creek, GA,34.0289259,-84.198579
"South Burlington, VT",9,South Burlington, VT,44.4669941,-73.1709604
"Amherst, MA",9,Amherst, MA,42.3732216,-72.5198537
"Dfw Airport, TX",9,Dfw Airport, TX,32.8998091,-97.0403352
"Charlestown, MA",9,Charlestown, MA,42.3782065,-71.0602131
"Largo, FL",9,Largo, FL,27.9094665,-82.7873244
"Raritan, NJ",9,Raritan, NJ,40.5695474,-74.6329363
"Londonderry, NH",9,Londonderry, NH,42.86512980000001,-71.3739272
"Destin, FL",9,Destin, FL,30.3935337,-86.4957833
"Norwood, MA",9,Norwood, MA,42.19439089999999,-71.19896949999999
"Kansas City, KS",9,Kansas City, KS,39.11553139999999,-94.62678729999999
"Livermore, CA",9,Livermore, CA,37.6818745,-121.7680088
"La Crosse, WI",8,La Crosse, WI,43.8137751,-91.25190169999999
"Brooklyn Park, MN",8,Brooklyn Park, MN,45.0941315,-93.3563405
"Trenton, NJ",8,Trenton, NJ,40.2205824,-74.759717
"Chandler, AZ",8,Chandler, AZ,33.3061605,-111.8412502
"Fort Washington, PA",8,Fort Washington, PA,40.1416782,-75.19269369999999
"Wilton, CT",8,Wilton, CT,41.1953739,-73.4378988
"Chesapeake, VA",8,Chesapeake, VA,36.7682088,-76.2874927
"Collierville, TN",8,Collierville, TN,35.042036,-89.6645266
"Winston Salem, NC",8,Winston Salem, NC,36.09985959999999,-80.244216
"Fountain Valley, CA",8,Fountain Valley, CA,33.7090212,-117.9544069
"Vancouver, WA",8,Vancouver, WA,45.6272259,-122.6727305
"Chesterfield, MO",8,Chesterfield, MO,38.6631083,-90.5770675
"Moline, IL",8,Moline, IL,41.5067003,-90.51513419999999
"Maitland, FL",8,Maitland, FL,28.6277767,-81.36312439999999
"Concord, MA",8,Concord, MA,42.4603719,-71.3489484
"Chevy Chase, MD",8,Chevy Chase, MD,38.9692771,-77.07886669999999
"West Nyack, NY",8,West Nyack, NY,41.096485,-73.9729162
"Conway, AR",8,Conway, AR,35.0886963,-92.4421011
"Rosslyn, VA",8,Rosslyn, VA,38.8967784,-77.0724776
"Doylestown, PA",8,Doylestown, PA,40.3101063,-75.1298939
"Independence, OH",8,Independence, OH,41.3686645,-81.63790329999999
"Orem, UT",8,Orem, UT,40.2968979,-111.6946475
"South Bend, IN",8,South Bend, IN,41.6763545,-86.25198979999999
"Doral, FL",8,Doral, FL,25.8195424,-80.3553302
"Lone Tree, CO",8,Lone Tree, CO,39.536482,-104.8970678
"Berwyn, PA",8,Berwyn, PA,40.045824,-75.4395931
"Westford, MA",8,Westford, MA,42.5792583,-71.4378411
"Dimondale, MI",8,Dimondale, MI,42.64559149999999,-84.6488707
"Rensselaer, NY",8,Rensselaer, NY,42.6425794,-73.742898
"Lombard, IL",8,Lombard, IL,41.8800296,-88.00784349999999
"Weston, FL",8,Weston, FL,26.1003654,-80.3997748
"Longmont, CO",8,Longmont, CO,40.1672068,-105.1019275
"East Greenwich, RI",8,East Greenwich, RI,41.6342619,-71.51304449999999
"Bloomington, MN",8,Bloomington, MN,44.840798,-93.2982799
"Reno, NV",8,Reno, NV,39.5296329,-119.8138027
"Spring Valley, NY",8,Spring Valley, NY,41.1131514,-74.0437521
"Pleasant Grove, UT",8,Pleasant Grove, UT,40.3641184,-111.73854
"Wilkes Barre, PA",8,Wilkes Barre, PA,41.2459149,-75.88130749999999
"Hayward, CA",8,Hayward, CA,37.6688205,-122.0807964
"Downers Grove, IL",8,Downers Grove, IL,41.8089191,-88.01117459999999
"Warsaw, IN",8,Warsaw, IN,41.2381,-85.8530469
"Honolulu, HI",8,Honolulu, HI,21.3069444,-157.8583333
"Margate, FL",8,Margate, FL,26.2445263,-80.206436
"Media, PA",8,Media, PA,39.9167783,-75.387693
"Ocoee, FL",8,Ocoee, FL,28.5691677,-81.5439619
"Scranton, PA",8,Scranton, PA,41.408969,-75.66241219999999
"Franklin, WI",8,Franklin, WI,42.888627,-88.03841949999999
"Kennesaw, GA",8,Kennesaw, GA,34.0234337,-84.6154897
"Fort Collins, CO",7,Fort Collins, CO,40.5852602,-105.084423
"Glastonbury, CT",7,Glastonbury, CT,41.6861794,-72.5450779
"New Albany, OH",7,New Albany, OH,40.0811745,-82.8087864
"Fort Mill, SC",7,Fort Mill, SC,35.0073697,-80.94507589999999
"Roswell, GA",7,Roswell, GA,34.0232431,-84.3615555
"Lenexa, KS",7,Lenexa, KS,38.9536174,-94.73357089999999
"Henderson, NV",7,Henderson, NV,36.0395247,-114.9817213
"Tualatin, OR",7,Tualatin, OR,45.3779317,-122.7819595
"Suwanee, GA",7,Suwanee, GA,34.0514898,-84.0712997
"Orange County, CA",7,Orange County, CA,33.7174708,-117.8311428
"Pennington, NJ",7,Pennington, NJ,40.3284402,-74.790718
"Montvale, NJ",7,Montvale, NJ,41.0467635,-74.0229173
"Stratford, CT",7,Stratford, CT,41.18454149999999,-73.1331651
"Lake Success, NY",7,Lake Success, NY,40.7706572,-73.7176312
"Bentonville, AR",7,Bentonville, AR,36.3728538,-94.2088172
"Commerce, CA",7,Commerce, CA,34.0005691,-118.1597929
"Montgomery, AL",7,Montgomery, AL,32.3792233,-86.3077368
"Columbia, MO",7,Columbia, MO,38.9517053,-92.3340724
"Sugar Land, TX",7,Sugar Land, TX,29.6196787,-95.6349463
"Berlin, CT",7,Berlin, CT,41.621488,-72.7456519
"Bethpage, NY",7,Bethpage, NY,40.7442664,-73.4820687
"Baton Rouge, LA",7,Baton Rouge, LA,30.4514677,-91.18714659999999
"Lafayette, CO",7,Lafayette, CO,39.9935959,-105.0897058
"Timonium, MD",7,Timonium, MD,39.4370508,-76.6196915
"Titusville, NJ",7,Titusville, NJ,40.309579,-74.8770282
"Chantilly, VA",7,Chantilly, VA,38.8942786,-77.43109919999999
"Traverse City, MI",7,Traverse City, MI,44.7630567,-85.62063169999999
"Carlsbad Ca, CA",7,Carlsbad Ca, CA,33.1580933,-117.3505939
"Palmdale, CA",7,Palmdale, CA,34.5794343,-118.1164613
"Camp Hill, PA",7,Camp Hill, PA,40.23981180000001,-76.9199742
"Camarillo, CA",7,Camarillo, CA,34.2163937,-119.0376023
"Manhattan, KS",7,Manhattan, KS,39.18360819999999,-96.57166939999999
"Warrendale, PA",7,Warrendale, PA,40.65320759999999,-80.0794925
"Danville, IL",7,Danville, IL,40.124481,-87.6300207
"Buffalo Grove, IL",7,Buffalo Grove, IL,42.1662831,-87.9631308
"Mc Lean, VA",7,Mc Lean, VA,38.9338676,-77.1772604
"Medford, MA",7,Medford, MA,42.4184296,-71.1061639
"North Brunswick, NJ",7,North Brunswick, NJ,40.4525163,-74.4766712
"Livingston, NJ",7,Livingston, NJ,40.7862871,-74.3300842
"Aventura, FL",7,Aventura, FL,25.9564812,-80.1392121
"Plymouth, MA",7,Plymouth, MA,41.9584457,-70.6672621
"Somerville, NJ",7,Somerville, NJ,40.5742696,-74.60987999999999
"South Amboy, NJ",7,South Amboy, NJ,40.4778838,-74.290702
"Long Island, NY",7,Long Island, NY,40.789142,-73.13496099999999
"North Andover, MA",7,North Andover, MA,42.69870239999999,-71.1350575
"Schriever Afb, CO",7,Schriever Afb, CO,38.8086033,-104.5257202
"Ipswich, MA",7,Ipswich, MA,42.6791832,-70.8411558
"Etters, PA",7,Etters, PA,40.152593,-76.75024669999999
"South Plainfield, NJ",7,South Plainfield, NJ,40.5792701,-74.4115401
"South Setauket, NY",7,South Setauket, NY,40.888942,-73.096994
"Morgantown, WV",7,Morgantown, WV,39.629526,-79.95589679999999
"Bridgeport, CT",6,Bridgeport, CT,41.1792258,-73.1894384
"Mineola, NY",6,Mineola, NY,40.7492678,-73.64068449999999
"North Haven, CT",6,North Haven, CT,41.39091390000001,-72.8595447
"Addison, IL",6,Addison, IL,41.931696,-87.9889556
"Aberdeen, MD",6,Aberdeen, MD,39.5095556,-76.16411970000001
"Hopkins, MN",6,Hopkins, MN,44.9260794,-93.4044187
"Boxborough, MA",6,Boxborough, MA,42.4834197,-71.5167139
"Bowie, MD",6,Bowie, MD,39.0067768,-76.77913649999999
"Annapolis, MD",6,Annapolis, MD,38.9784453,-76.4921829
"Ft. Lauderdale, FL",6,Ft. Lauderdale, FL,26.1224386,-80.13731740000001
"Radford, VA",6,Radford, VA,37.13179239999999,-80.5764477
"Reading, PA",6,Reading, PA,40.3356483,-75.9268747
"Wilsonville, OR",6,Wilsonville, OR,45.3029903,-122.7726501
"West Caldwell, NJ",6,West Caldwell, NJ,40.8409329,-74.3018154
"Kirkland, WA",6,Kirkland, WA,47.6768927,-122.2059833
"Ontario, CA",6,Ontario, CA,34.0633443,-117.6508876
"Berkeley Heights, NJ",6,Berkeley Heights, NJ,40.6808726,-74.4310524
"Rancho Cucamonga, CA",6,Rancho Cucamonga, CA,34.10639889999999,-117.5931084
"Mason, OH",6,Mason, OH,39.3600586,-84.309939
"Ft. Worth, TX",6,Ft. Worth, TX,32.7554883,-97.3307658
"Rahway, NJ",6,Rahway, NJ,40.60815909999999,-74.2776468
"Brookfield, WI",6,Brookfield, WI,43.0605671,-88.1064787
"Westboro, MA",6,Westboro, MA,42.2695216,-71.61612939999999
"West Los Angeles, CA",6,West Los Angeles, CA,34.0412085,-118.442596
"Lewisville, TX",6,Lewisville, TX,33.046233,-96.994174
"Niles, IL",6,Niles, IL,42.0189191,-87.80284019999999
"North Quincy, MA",6,North Quincy, MA,42.28118430000001,-71.0245188
"Flint, MI",6,Flint, MI,43.0125274,-83.6874562
"Spokane, WA",6,Spokane, WA,47.6587802,-117.4260465
"Delray Beach, FL",6,Delray Beach, FL,26.4614625,-80.0728201
"Denton, TX",6,Denton, TX,33.2148412,-97.13306829999999
"Hampton, VA",6,Hampton, VA,37.0298687,-76.34522179999999
"Mossville, IL",6,Mossville, IL,40.8171184,-89.5679474
"Dublin, CA",6,Dublin, CA,37.7021521,-121.9357918
"Secaucus, NJ",6,Secaucus, NJ,40.7895453,-74.05652979999999
"Covington, GA",6,Covington, GA,33.5967815,-83.8601827
"Lisle, IL",6,Lisle, IL,41.801141,-88.0747875
"Linthicum, MD",6,Linthicum, MD,39.2051077,-76.6527456
"Savannah, GA",6,Savannah, GA,32.0808989,-81.091203
"Sandy, UT",6,Sandy, UT,40.5649781,-111.8389726
"Englewood Cliffs, NJ",6,Englewood Cliffs, NJ,40.88537729999999,-73.9523597
"Erie, PA",6,Erie, PA,42.12922409999999,-80.085059
"Lexington, MA",6,Lexington, MA,42.4473497,-71.2271531
"Springfield, MO",6,Springfield, MO,37.2089572,-93.29229889999999
"Rancho Santa Margarita, CA",6,Rancho Santa Margarita, CA,33.640171,-117.602832
"Pembroke Pines, FL",6,Pembroke Pines, FL,26.007765,-80.2962555
"Monroeville, PA",6,Monroeville, PA,40.4211798,-79.7881024
"Burlington, VT",6,Burlington, VT,44.4758825,-73.21207199999999
"Vancouver, BC",6,Vancouver, BC,49.2827291,-123.1207375
"Tysons Corner, VA",6,Tysons Corner, VA,38.9187222,-77.2310925
"Carrollton, TX",6,Carrollton, TX,32.9756415,-96.8899636
"Exton, PA",6,Exton, PA,40.0325817,-75.6274583
"Charleston, WV",6,Charleston, WV,38.3498195,-81.6326234
"The Woodlands, TX",6,The Woodlands, TX,30.1658207,-95.46126249999999
"Costa Mesa, IA",6,Costa Mesa, IA,33.6908682,-117.9295973
"Tacoma, WA",6,Tacoma, WA,47.2528768,-122.4442906
"Collegeville, PA",6,Collegeville, PA,40.1856597,-75.451571
"Aberdeen Proving Ground, MD",6,Aberdeen Proving Ground, MD,39.4632824,-76.1203982
"Roseland, NJ",6,Roseland, NJ,40.8206555,-74.2937594
"Prattville, AL",5,Prattville, AL,32.4640245,-86.4596966
"La Verne, CA",5,La Verne, CA,34.1008426,-117.7678355
"Glen Burnie, MD",5,Glen Burnie, MD,39.1626084,-76.6246886
"Pasadena, MD",5,Pasadena, MD,39.1073317,-76.57107529999999
"North Carolina, NC",5,North Carolina, NC,35.7595731,-79.01929969999999
"Oakland, NJ",5,Oakland, NJ,41.0131529,-74.26431430000001
"North Hampton, NH",5,North Hampton, NH,42.9737623,-70.8351792
"Green Bay, WI",5,Green Bay, WI,44.5133188,-88.0132958
"Olympia, WA",5,Olympia, WA,47.0378741,-122.9006951
"Painted Post, NY",5,Painted Post, NY,42.1620186,-77.0941366
"Glendale, AZ",5,Glendale, AZ,33.5386523,-112.1859866
"Hanscom Afb, MA",5,Hanscom Afb, MA,42.4579955,-71.27431229999999
"Oakton, VA",5,Oakton, VA,38.8809451,-77.3008172
"Latham, NY",5,Latham, NY,42.7477661,-73.760537
"Farmers Branch, TX",5,Farmers Branch, TX,32.9265137,-96.89611509999999
"Waterbury, CT",5,Waterbury, CT,41.5581525,-73.0514965
"Downey, CA",5,Downey, CA,33.9401088,-118.1331593
"Smithfield, RI",5,Smithfield, RI,41.9220496,-71.54951009999999
"Simsbury, CT",5,Simsbury, CT,41.8540094,-72.82791499999999
"O'fallon, MO",5,O'fallon, MO,38.8106075,-90.69984769999999
"Watsonville, CA",5,Watsonville, CA,36.910231,-121.7568946
"Edgewood, NY",5,Edgewood, NY,42.140367,-74.2123659
"Waukegan, IL",5,Waukegan, IL,42.3636331,-87.84479379999999
"Mt. View, CA",5,Mt. View, CA,37.3860517,-122.0838511
"Elkridge, MD",5,Elkridge, MD,39.1978788,-76.7625073
"Manchester, CT",5,Manchester, CT,41.7759301,-72.52150089999999
"Liberty Corner, NJ",5,Liberty Corner, NJ,40.6461412,-74.5873348
"Waukesha, WI",5,Waukesha, WI,43.0116784,-88.2314813
"Evansville, IN",5,Evansville, IN,37.9715592,-87.5710898
"Everett, WA",5,Everett, WA,47.9789848,-122.2020795
"Bolingbrook, IL",5,Bolingbrook, IL,41.69864159999999,-88.0683955
"Wausau, WI",5,Wausau, WI,44.9591352,-89.6301221
"Des Plaines, IL",5,Des Plaines, IL,42.0333623,-87.88339909999999
"Warwick, RI",5,Warwick, RI,41.7001009,-71.4161671
"Bronx, NY",5,Bronx, NY,40.8447819,-73.8648268
"Concord, NC",5,Concord, NC,35.4087517,-80.579511
"Center Valley, PA",5,Center Valley, PA,40.5294058,-75.3936935
"Champaign, IL",5,Champaign, IL,40.1164204,-88.2433829
"Chelmsford, MA",5,Chelmsford, MA,42.5998139,-71.3672838
"Chesterbrook, PA",5,Chesterbrook, PA,40.0756627,-75.45908159999999
"Keene, NH",5,Keene, NH,42.933692,-72.2781409
"Macon, GA",5,Macon, GA,32.8406946,-83.6324022
"Canton, MA",5,Canton, MA,42.1584324,-71.1447732
"Conshohocken, PA",5,Conshohocken, PA,40.0792766,-75.3015714
"Spartanburg, SC",5,Spartanburg, SC,34.9495672,-81.9320482
"Lathrup Village, MI",5,Lathrup Village, MI,42.4964242,-83.22270669999999
"Sterling Heights, MI",5,Sterling Heights, MI,42.5803122,-83.0302033
"Lutz, FL",5,Lutz, FL,28.1511243,-82.4614831
"North Reading, MA",5,North Reading, MA,42.5750939,-71.0786653
"Mansfield, MA",5,Mansfield, MA,42.03345650000001,-71.2190578
"Danville, PA",5,Danville, PA,40.96342,-76.6127329
"Loveland, CO",5,Loveland, CO,40.3977612,-105.0749801
"Marriottsville, MD",5,Marriottsville, MD,39.3491115,-76.89964739999999
"Ellington, CT",5,Ellington, CT,41.91728260000001,-72.458236
"Carrollton, GA",5,Carrollton, GA,33.5801103,-85.0766113
"Research Triangle Park, NC",5,Research Triangle Park, NC,35.8991678,-78.86364019999999
"Lawrenceville, GA",5,Lawrenceville, GA,33.9562149,-83.9879625
"Lawrenceville, NJ",5,Lawrenceville, NJ,40.3016375,-74.7361013
"Franklin, MA",5,Franklin, MA,42.0834313,-71.396725
"Attleboro, MA",5,Attleboro, MA,41.94454409999999,-71.2856082
"White Plains, NY",5,White Plains, NY,41.03398620000001,-73.7629097
"Miami Beach, FL",5,Miami Beach, FL,25.790654,-80.1300455
"New Berlin, WI",5,New Berlin, WI,42.9764027,-88.1084224
"Freeport, ME",5,Freeport, ME,43.8570065,-70.1031201
"Mechanicsburg, PA",5,Mechanicsburg, PA,40.2142565,-77.0085876
"Westwood, NJ",5,Westwood, NJ,40.9912087,-74.0326395
"Rocky Mount, NC",5,Rocky Mount, NC,35.9382103,-77.7905339
"Ridgefield, CT",5,Ridgefield, CT,41.28406349999999,-73.4975412
"Westport, CT",5,Westport, CT,41.1414717,-73.3579049
"Weston, MA",5,Weston, MA,42.3667625,-71.3031132
"Remote, OR",5,Remote, OR,43.0059455,-123.8925908
"Woodstock, GA",4,Woodstock, GA,34.1014873,-84.5193754
"Carlisle, PA",4,Carlisle, PA,40.2010241,-77.20027449999999
"Agawam, MA",4,Agawam, MA,42.0695391,-72.61481169999999
"Brooklyn, OH",4,Brooklyn, OH,41.4301349,-81.7512107
"Uniondale, NY",4,Uniondale, NY,40.7003793,-73.5929056
"Virginia, VA",4,Virginia, VA,37.4315734,-78.6568942
"Wyomissing, PA",4,Wyomissing, PA,40.32953699999999,-75.9652117
"Asheville, NC",4,Asheville, NC,35.5950581,-82.5514869
"North Chesterfield, VA",4,North Chesterfield, VA,37.458993,-77.468513
"Ogden, UT",4,Ogden, UT,41.223,-111.9738304
"Cape Girardeau, MO",4,Cape Girardeau, MO,37.3058839,-89.51814759999999
"Arcadia, WI",4,Arcadia, WI,44.25274049999999,-91.5015432
"Urbana, MD",4,Urbana, MD,39.3287614,-77.3519906
"Palm Bay, FL",4,Palm Bay, FL,28.0344621,-80.5886646
"Burlington, NC",4,Burlington, NC,36.0956918,-79.43779909999999
"Jessup, MD",4,Jessup, MD,39.1492746,-76.7752493
"Warner Robins, GA",4,Warner Robins, GA,32.6130007,-83.624201
"Cape Canaveral, FL",4,Cape Canaveral, FL,28.3922182,-80.60771319999999
"Anchorage, AK",4,Anchorage, AK,61.2180556,-149.9002778
"West Covina, CA",4,West Covina, CA,34.0686208,-117.9389526
"Ithaca, NY",4,Ithaca, NY,42.4439614,-76.5018807
"Owensboro, KY",4,Owensboro, KY,37.7719074,-87.1111676
"Marlboro, MA",4,Marlboro, MA,42.3459271,-71.5522874
"Maryland, MD",4,Maryland, MD,39.0457549,-76.64127119999999
"Belmont, MA",4,Belmont, MA,42.3956405,-71.1776114
"Belmont, CA",4,Belmont, CA,37.5202145,-122.2758008
"Bedminster, NJ",4,Bedminster, NJ,40.669264,-74.68039999999999
"Westlake, OH",4,Westlake, OH,41.4553232,-81.9179173
"Hudson, OH",4,Hudson, OH,41.240056,-81.44066699999999
"Middletown, NY",4,Middletown, NY,41.4459271,-74.42293409999999
"Hudson, NY",4,Hudson, NY,42.2528649,-73.790959
"Kissimmee, FL",4,Kissimmee, FL,28.2919557,-81.40757099999999
"Wexford, PA",4,Wexford, PA,40.6266318,-80.05497679999999
"Weehawken, NJ",4,Weehawken, NJ,40.7663711,-74.02537149999999
"Avon, CT",4,Avon, CT,41.8096201,-72.8305154
"Norman, OK",4,Norman, OK,35.2225668,-97.4394777
"Boynton Beach, FL",4,Boynton Beach, FL,26.5317866,-80.0905465
"Lake Buena Vista, FL",4,Lake Buena Vista, FL,28.3936186,-81.53868419999999
"Waterloo, ON",4,Waterloo, ON,43.4642578,-80.5204096
"Wheeling, WV",4,Wheeling, WV,40.0639616,-80.7209149
"Olde West Chester, OH",4,Olde West Chester, OH,39.3317246,-84.4071639
"Brentwood, CA",4,Brentwood, CA,37.931868,-121.6957863
"Augusta, GA",4,Augusta, GA,33.4734978,-82.0105148
"Owosso, MI",4,Owosso, MI,42.9978049,-84.1766358
"Brighton, MA",4,Brighton, MA,42.3463503,-71.1626756
"Hawthorne, CA",4,Hawthorne, CA,33.9164032,-118.3525748
"Celebration, FL",4,Celebration, FL,28.3252878,-81.5331286
"Century City, CA",4,Century City, CA,34.0536608,-118.4133894
"Fargo, ND",4,Fargo, ND,46.8771863,-96.7898034
"Lehi, UT",4,Lehi, UT,40.3916172,-111.8507662
"Port Washington, NY",4,Port Washington, NY,40.8256561,-73.69818579999999
"Fayetteville, AR",4,Fayetteville, AR,36.082156,-94.17185420000001
"Nashua, NH",4,Nashua, NH,42.7653662,-71.46756599999999
"Round Lake, IL",4,Round Lake, IL,42.353355,-88.0934145
"Flagstaff, AZ",4,Flagstaff, AZ,35.1982836,-111.651302
"Grapevine, TX",4,Grapevine, TX,32.9342919,-97.0780654
"Roseville, MN",4,Roseville, MN,45.0060767,-93.15661070000002
"Florham Park, NJ",4,Florham Park, NJ,40.787878,-74.3882072
"Flower Mound, TX",4,Flower Mound, TX,33.0145673,-97.0969552
"Fort Knox, KY",4,Fort Knox, KY,37.9161043,-85.9562469
"Lanham, MD",4,Lanham, MD,38.96851119999999,-76.8620327
"Lansdale, PA",4,Lansdale, PA,40.2414952,-75.2837862
"Rochester, MN",4,Rochester, MN,44.0121221,-92.4801989
"Fort Walton Beach, FL",4,Fort Walton Beach, FL,30.42007079999999,-86.6170308
"Rochester Hills, MI",4,Rochester Hills, MI,42.65836609999999,-83.1499322
"Pullman, WA",4,Pullman, WA,46.7297771,-117.1817377
"Foxboro, MA",4,Foxboro, MA,42.0653812,-71.2478251
"Richmond, CA",4,Richmond, CA,37.9357576,-122.3477486
"Freeport, IL",4,Freeport, IL,42.2966861,-89.6212271
"Largo, MD",4,Largo, MD,38.8779723,-76.8317325
"Radnor, PA",4,Radnor, PA,40.043912,-75.3754599
"Frontenac, KS",4,Frontenac, KS,37.4556049,-94.689127
"Richmond, BC",4,Richmond, BC,49.1665898,-123.133569
"Richfield, MN",4,Richfield, MN,44.8832982,-93.28300209999999
"Glen Mills, PA",4,Glen Mills, PA,39.9016273,-75.5103484
"Fulton, MD",4,Fulton, MD,39.1511692,-76.92305069999999
"Red Bank, NJ",4,Red Bank, NJ,40.3470543,-74.0643065
"Lewis Center, OH",4,Lewis Center, OH,40.1983884,-83.0100987
"San Angelo, TX",4,San Angelo, TX,31.4637723,-100.4370375
"Pompano Beach, FL",4,Pompano Beach, FL,26.2378597,-80.1247667
"Greenville, NC",4,Greenville, NC,35.612661,-77.3663538
"Toledo, OH",4,Toledo, OH,41.6528052,-83.5378674
"Tewksbury, MA",4,Tewksbury, MA,42.6106478,-71.23422479999999
"Teaneck, NJ",4,Teaneck, NJ,40.8932469,-74.0116536
"Monroe, MI",4,Monroe, MI,41.9164343,-83.3977101
"Lake Oswego, OR",4,Lake Oswego, OR,45.4156817,-122.7159726
"Sunbury, PA",4,Sunbury, PA,40.862585,-76.79441039999999
"Stockton, CA",4,Stockton, CA,37.9577016,-121.2907796
"Corvallis, OR",4,Corvallis, OR,44.5645659,-123.2620435
"Crystal City, VA",4,Crystal City, VA,38.855419,-77.0521289
"Lubbock, TX",4,Lubbock, TX,33.5778631,-101.8551665
"Springfield, OH",4,Springfield, OH,39.9242266,-83.8088171
"Montville, NJ",4,Montville, NJ,40.9148209,-74.383763
"Sparks, MD",4,Sparks, MD,39.5309389,-76.6458043
"Morrisville, NC",4,Morrisville, NC,35.823483,-78.8255621
"South Sioux City, NE",4,South Sioux City, NE,42.4648558,-96.4130601
"Dothan, AL",4,Dothan, AL,31.2232313,-85.3904888
"Dover, NH",4,Dover, NH,43.1978624,-70.8736698
"Plainview, NY",4,Plainview, NY,40.7764882,-73.4673454
"Eagle, CO",4,Eagle, CO,39.6552634,-106.8286507
"Shreveport, LA",4,Shreveport, LA,32.5251516,-93.7501789
"Easton, PA",4,Easton, PA,40.688432,-75.2207323
"Santa Rosa, CA",4,Santa Rosa, CA,38.440429,-122.7140548
"Santa Maria, CA",4,Santa Maria, CA,34.9530337,-120.4357191
"Murfreesboro, TN",4,Murfreesboro, TN,35.8456213,-86.39027
"San Rafael, CA",4,San Rafael, CA,37.9735346,-122.5310874
"Kalamazoo, MI",4,Kalamazoo, MI,42.2917069,-85.5872286
"Norwalk, CA",4,Norwalk, CA,33.9022367,-118.081733
"North Miami, FL",3,North Miami, FL,25.8900949,-80.1867138
"North Liberty, IA",3,North Liberty, IA,41.739482,-91.60809739999999
"La Grange, IL",3,La Grange, IL,41.8050314,-87.8692254
"Lynn, MA",3,Lynn, MA,42.46676300000001,-70.9494938
"North Chicago, IL",3,North Chicago, IL,42.325578,-87.8411818
"North Billerica, MA",3,North Billerica, MA,42.5831997,-71.28486629999999
"Meriden, CT",3,Meriden, CT,41.5381535,-72.80704349999999
"Mesa, AZ",3,Mesa, AZ,33.4151843,-111.8314724
"Metairie, LA",3,Metairie, LA,29.9840922,-90.1528519
"Mcclellan, CA",3,Mcclellan, CA,38.6733377,-121.390048
